No,year,month,day,hour,season,pm,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,air quality level
29078,2013,4,26,13,1,14.0,1.0,38.56,1011.0,15.0,2,28.0,0.0,0.0,2
29079,2013,4,26,14,1,12.0,0.0,33.65,1010.0,16.0,2,33.0,0.0,0.0,1
29081,2013,4,26,16,1,15.0,-1.0,31.28,1010.0,16.0,1,5.0,0.0,0.0,2
29082,2013,4,26,17,1,23.0,-1.0,33.35,1010.0,15.0,1,9.0,0.0,0.0,2
29083,2013,4,26,18,1,38.0,0.0,38.26,1010.0,14.0,1,13.0,0.0,0.0,3
29090,2013,4,27,1,1,168.0,2.0,80.92,1013.0,5.0,4,2.0,0.0,0.0,5
29091,2013,4,27,2,1,180.0,3.0,75.67,1013.0,7.0,3,1.0,0.0,0.0,5
29092,2013,4,27,3,1,200.0,3.0,81.06,1013.0,6.0,3,3.0,0.0,0.0,5
29094,2013,4,27,5,1,176.0,2.0,75.49,1013.0,6.0,3,7.0,0.0,0.0,5
29095,2013,4,27,6,1,180.0,3.0,75.67,1014.0,7.0,3,11.0,0.0,0.0,5
29096,2013,4,27,7,1,191.0,3.0,61.76,1014.0,10.0,3,14.0,0.0,0.0,5
29097,2013,4,27,8,1,140.0,3.0,50.65,1014.0,13.0,3,17.0,0.0,0.0,4
29098,2013,4,27,9,1,84.0,1.0,36.17,1014.0,16.0,3,21.0,0.0,0.0,4
29100,2013,4,27,11,1,25.0,-4.0,20.72,1014.0,19.0,3,25.0,0.0,0.0,2
29101,2013,4,27,12,1,22.0,-5.0,18.06,1013.0,20.0,3,28.0,0.0,0.0,2
29102,2013,4,27,13,1,19.0,-5.0,16.98,1012.0,21.0,4,3.0,0.0,0.0,2
29224,2013,5,2,15,1,38.0,-1.0,27.56,1012.0,18.0,2,4.0,0.0,0.0,3
29225,2013,5,2,16,1,45.0,2.0,38.86,1012.0,16.0,1,7.0,0.0,0.0,3
29231,2013,5,2,22,1,99.0,2.0,61.51,1014.0,9.0,1,9.0,0.0,0.0,4
29247,2013,5,3,14,1,34.0,-1.0,25.89,1015.0,19.0,2,11.0,0.0,0.0,2
29251,2013,5,3,18,1,49.0,0.0,29.65,1014.0,18.0,2,24.0,0.0,0.0,3
29252,2013,5,3,19,1,58.0,1.0,36.17,1014.0,16.0,4,2.0,0.0,0.0,4
29253,2013,5,3,20,1,64.0,2.0,44.2,1015.0,14.0,4,4.0,0.0,0.0,4
29254,2013,5,3,21,1,90.0,2.0,47.17,1015.0,13.0,4,6.0,0.0,0.0,4
29255,2013,5,3,22,1,99.0,3.0,54.08,1015.0,12.0,4,8.0,0.0,0.0,4
29256,2013,5,3,23,1,94.0,3.0,61.76,1015.0,10.0,4,10.0,0.0,0.0,4
29258,2013,5,4,1,1,105.0,3.0,66.05,1016.0,9.0,4,14.0,0.0,0.0,4
29260,2013,5,4,3,1,156.0,3.0,66.05,1016.0,9.0,4,18.0,0.0,0.0,5
29261,2013,5,4,4,1,157.0,3.0,66.05,1016.0,9.0,4,20.0,0.0,0.0,5
29262,2013,5,4,5,1,138.0,2.0,57.51,1016.0,10.0,4,23.0,0.0,0.0,4
29263,2013,5,4,6,1,139.0,3.0,57.77,1016.0,11.0,4,26.0,0.0,0.0,4
29266,2013,5,4,9,1,157.0,7.0,48.59,1017.0,18.0,4,40.0,0.0,0.0,5
29267,2013,5,4,10,1,140.0,7.0,42.9,1016.0,20.0,4,46.0,0.0,0.0,4
29268,2013,5,4,11,1,95.0,5.0,33.05,1016.0,22.0,4,53.0,0.0,0.0,4
29269,2013,5,4,12,1,63.0,3.0,27.02,1015.0,23.0,4,62.0,0.0,0.0,4
29270,2013,5,4,13,1,59.0,3.0,25.45,1014.0,24.0,4,71.0,0.0,0.0,4
29271,2013,5,4,14,1,55.0,3.0,25.45,1013.0,24.0,4,80.0,0.0,0.0,3
29272,2013,5,4,15,1,59.0,4.0,29.0,1013.0,23.0,4,89.0,0.0,0.0,4
29273,2013,5,4,16,1,62.0,4.0,30.81,1013.0,22.0,4,98.0,0.0,0.0,4
29274,2013,5,4,17,1,81.0,2.0,28.43,1013.0,21.0,4,108.0,0.0,0.0,4
29275,2013,5,4,18,1,82.0,2.0,32.17,1013.0,19.0,4,117.0,0.0,0.0,4
29276,2013,5,4,19,1,56.0,1.0,31.87,1014.0,18.0,4,125.0,0.0,0.0,4
29277,2013,5,4,20,1,32.0,1.0,36.17,1015.0,16.0,4,130.0,0.0,0.0,2
29278,2013,5,4,21,1,34.0,1.0,38.56,1015.0,15.0,4,134.0,0.0,0.0,2
29279,2013,5,4,22,1,40.0,1.0,38.56,1015.0,15.0,4,138.0,0.0,0.0,3
29281,2013,5,5,0,1,32.0,-2.0,30.98,1015.0,15.0,4,146.0,0.0,0.0,2
29282,2013,5,5,1,1,30.0,-3.0,28.77,1015.0,15.0,4,150.0,0.0,0.0,2
29283,2013,5,5,2,1,38.0,-3.0,28.77,1015.0,15.0,4,155.0,0.0,0.0,3
29284,2013,5,5,3,1,76.0,2.0,41.43,1016.0,15.0,4,162.0,0.0,0.0,4
29285,2013,5,5,4,1,111.0,5.0,51.2,1016.0,15.0,4,169.0,0.0,0.0,4
29286,2013,5,5,5,1,108.0,4.0,50.92,1016.0,14.0,4,176.0,0.0,0.0,4
29287,2013,5,5,6,1,103.0,5.0,54.62,1016.0,14.0,4,179.0,0.0,0.0,4
29288,2013,5,5,7,1,89.0,4.0,42.02,1017.0,17.0,4,184.0,0.0,0.0,4
29289,2013,5,5,8,1,91.0,4.0,39.46,1017.0,18.0,4,192.0,0.0,0.0,4
29290,2013,5,5,9,1,96.0,5.0,39.75,1017.0,19.0,4,200.0,0.0,0.0,4
29291,2013,5,5,10,1,102.0,6.0,37.65,1017.0,21.0,4,207.0,0.0,0.0,4
29292,2013,5,5,11,1,99.0,7.0,37.95,1017.0,22.0,4,214.0,0.0,0.0,4
29293,2013,5,5,12,1,94.0,6.0,33.34,1016.0,23.0,4,221.0,0.0,0.0,4
29294,2013,5,5,13,1,87.0,7.0,33.63,1016.0,24.0,4,228.0,0.0,0.0,4
29295,2013,5,5,14,1,78.0,7.0,31.68,1015.0,25.0,4,234.0,0.0,0.0,4
29296,2013,5,5,15,1,78.0,5.0,26.0,1014.0,26.0,4,239.0,0.0,0.0,4
29298,2013,5,5,17,1,132.0,7.0,31.68,1013.0,25.0,4,251.0,0.0,0.0,4
29299,2013,5,5,18,1,209.0,8.0,40.63,1013.0,22.0,4,255.0,0.0,0.0,5
29300,2013,5,5,19,1,255.0,8.0,45.93,1013.0,20.0,4,260.0,0.0,0.0,6
29301,2013,5,5,20,1,335.0,9.0,55.67,1014.0,18.0,4,264.0,0.0,0.0,6
29302,2013,5,5,21,1,329.0,10.0,63.41,1014.0,17.0,4,267.0,0.0,0.0,6
29310,2013,5,6,5,1,174.0,10.0,72.04,1012.0,15.0,4,284.0,0.0,0.0,5
29311,2013,5,6,6,1,165.0,11.0,77.01,1014.0,15.0,1,2.0,0.0,0.0,5
29312,2013,5,6,7,1,148.0,10.0,59.54,1014.0,18.0,4,5.0,0.0,0.0,4
29313,2013,5,6,8,1,148.0,10.0,52.56,1014.0,20.0,4,10.0,0.0,0.0,4
29315,2013,5,6,10,1,169.0,11.0,49.7,1014.0,22.0,4,20.0,0.0,0.0,5
29316,2013,5,6,11,1,172.0,11.0,44.04,1014.0,24.0,4,22.0,0.0,0.0,5
29317,2013,5,6,12,1,161.0,11.0,41.49,1014.0,25.0,4,2.0,0.0,0.0,5
29319,2013,5,6,14,1,161.0,10.0,32.54,1013.0,28.0,4,3.0,0.0,0.0,5
29320,2013,5,6,15,1,162.0,9.0,28.71,1012.0,29.0,4,1.0,0.0,0.0,5
29321,2013,5,6,16,1,153.0,7.0,25.06,1012.0,29.0,4,2.0,0.0,0.0,5
29325,2013,5,6,20,1,226.0,9.0,43.47,1014.0,22.0,4,1.0,0.0,0.0,5
29326,2013,5,6,21,1,229.0,12.0,56.44,1015.0,21.0,4,3.0,0.0,0.0,5
29327,2013,5,6,22,1,335.0,13.0,68.2,1015.0,19.0,4,5.0,0.0,0.0,6
29328,2013,5,6,23,1,425.0,14.0,77.48,1015.0,18.0,4,7.0,0.0,0.0,6
29329,2013,5,7,0,1,324.0,13.0,82.4,1015.0,16.0,4,8.0,0.0,0.0,6
29330,2013,5,7,1,1,323.0,13.0,87.84,1015.0,15.0,4,9.0,0.0,0.0,6
29331,2013,5,7,2,1,323.0,13.0,87.84,1016.0,15.0,4,0.0,0.0,0.0,6
29335,2013,5,7,6,1,433.0,13.0,82.4,1017.0,16.0,3,9.0,0.0,0.0,6
29336,2013,5,7,7,1,433.0,14.0,72.78,1017.0,19.0,3,11.0,0.0,0.0,6
29337,2013,5,7,8,1,235.0,13.0,56.69,1017.0,22.0,3,14.0,0.0,0.0,5
29338,2013,5,7,9,1,141.0,10.0,41.2,1017.0,24.0,4,4.0,0.0,0.0,4
29339,2013,5,7,10,1,146.0,11.0,39.1,1017.0,26.0,4,9.0,0.0,0.0,4
29340,2013,5,7,11,1,148.0,11.0,36.87,1017.0,27.0,4,15.0,0.0,0.0,4
29341,2013,5,7,12,1,146.0,11.0,34.78,1016.0,28.0,4,20.0,0.0,0.0,4
29342,2013,5,7,13,1,126.0,10.0,30.71,1016.0,29.0,4,27.0,0.0,0.0,4
29343,2013,5,7,14,1,125.0,11.0,30.99,1015.0,30.0,4,34.0,0.0,0.0,4
29344,2013,5,7,15,1,118.0,11.0,32.82,1015.0,29.0,4,42.0,0.0,0.0,4
29346,2013,5,7,17,1,125.0,11.0,36.87,1014.0,27.0,4,59.0,0.0,0.0,4
29347,2013,5,7,18,1,146.0,11.0,41.49,1014.0,25.0,4,64.0,0.0,0.0,4
29348,2013,5,7,19,1,146.0,11.0,46.78,1015.0,23.0,4,67.0,0.0,0.0,4
29351,2013,5,7,22,1,177.0,11.0,59.78,1016.0,19.0,4,75.0,0.0,0.0,5
29352,2013,5,7,23,1,217.0,11.0,63.64,1016.0,18.0,4,77.0,0.0,0.0,5
29353,2013,5,8,0,1,218.0,11.0,72.23,1016.0,16.0,4,79.0,0.0,0.0,5
29354,2013,5,8,1,1,225.0,11.0,77.01,1016.0,15.0,4,81.0,0.0,0.0,5
29355,2013,5,8,2,1,233.0,11.0,82.14,1016.0,14.0,4,83.0,0.0,0.0,5
29357,2013,5,8,4,1,165.0,10.0,82.01,1016.0,13.0,4,86.0,0.0,0.0,5
29359,2013,5,8,6,1,129.0,10.0,72.04,1016.0,15.0,3,2.0,0.0,0.0,4
29360,2013,5,8,7,1,108.0,8.0,45.93,1016.0,20.0,4,4.0,0.0,0.0,4
29361,2013,5,8,8,1,108.0,7.0,35.71,1016.0,23.0,4,9.0,0.0,0.0,4
29364,2013,5,8,11,1,58.0,5.0,24.52,1016.0,27.0,4,31.0,0.0,0.0,4
29366,2013,5,8,13,1,58.0,5.0,23.13,1014.0,28.0,4,50.0,0.0,0.0,4
29367,2013,5,8,14,1,39.0,5.0,23.13,1014.0,28.0,4,59.0,0.0,0.0,3
29368,2013,5,8,15,1,40.0,4.0,21.56,1013.0,28.0,4,67.0,0.0,0.0,3
29369,2013,5,8,16,1,43.0,3.0,21.3,1012.0,27.0,4,75.0,0.0,0.0,3
29370,2013,5,8,17,1,38.0,1.0,19.58,1012.0,26.0,4,83.0,0.0,0.0,3
29371,2013,5,8,18,1,49.0,2.0,23.7,1012.0,24.0,4,90.0,0.0,0.0,3
29372,2013,5,8,19,1,51.0,2.0,26.74,1013.0,22.0,4,97.0,0.0,0.0,3
29373,2013,5,8,20,1,67.0,3.0,32.46,1014.0,20.0,4,102.0,0.0,0.0,4
29374,2013,5,8,21,1,80.0,5.0,39.75,1014.0,19.0,4,109.0,0.0,0.0,4
29375,2013,5,8,22,1,90.0,5.0,42.32,1014.0,18.0,4,114.0,0.0,0.0,4
29376,2013,5,8,23,1,87.0,6.0,54.88,1013.0,15.0,3,3.0,0.0,0.0,4
29382,2013,5,9,5,1,69.0,6.0,58.54,1012.0,14.0,3,2.0,0.0,0.0,4
29383,2013,5,9,6,1,69.0,7.0,58.79,1012.0,15.0,3,4.0,0.0,0.0,4
29384,2013,5,9,7,1,77.0,7.0,48.59,1011.0,18.0,4,4.0,0.0,0.0,4
29385,2013,5,9,8,1,81.0,6.0,40.04,1012.0,20.0,4,9.0,0.0,0.0,4
29386,2013,5,9,9,1,70.0,4.0,32.75,1011.0,21.0,4,15.0,0.0,0.0,4
29387,2013,5,9,10,1,66.0,4.0,30.81,1011.0,22.0,4,21.0,0.0,0.0,4
29388,2013,5,9,11,1,66.0,5.0,31.1,1011.0,23.0,4,28.0,0.0,0.0,4
29389,2013,5,9,12,1,79.0,6.0,33.34,1010.0,23.0,4,37.0,0.0,0.0,4
29390,2013,5,9,13,1,79.0,10.0,46.49,1009.0,22.0,4,45.0,0.0,0.0,4
29391,2013,5,9,14,1,75.0,10.0,49.42,1009.0,21.0,4,53.0,0.0,0.0,4
29392,2013,5,9,15,1,75.0,9.0,46.21,1008.0,21.0,4,60.0,0.0,0.0,4
29393,2013,5,9,16,1,55.0,10.0,59.54,1008.0,18.0,4,66.0,0.0,0.0,3
29396,2013,5,9,19,1,79.0,13.0,87.84,1007.0,15.0,4,76.0,0.0,0.0,4
29397,2013,5,9,20,1,81.0,13.0,87.84,1007.0,15.0,4,78.0,0.0,0.0,4
29398,2013,5,9,21,1,99.0,13.0,87.84,1007.0,15.0,4,80.0,0.0,0.0,4
29399,2013,5,9,22,1,120.0,13.0,93.7,1006.0,14.0,4,81.0,0.0,0.0,4
29400,2013,5,9,23,1,110.0,13.0,93.7,1005.0,14.0,4,82.0,0.0,0.0,4
29401,2013,5,10,0,1,101.0,12.0,87.75,1004.0,14.0,4,85.0,0.4,0.4,4
29403,2013,5,10,2,1,107.0,12.0,93.65,1002.0,13.0,4,91.0,1.4,2.6,4
29404,2013,5,10,3,1,66.0,12.0,93.65,1001.0,13.0,4,94.0,1.5,4.1,4
29405,2013,5,10,4,1,41.0,12.0,93.65,1000.0,13.0,4,97.0,1.5,5.6,3
29406,2013,5,10,5,1,28.0,12.0,93.65,999.0,13.0,4,100.0,0.5,6.1,2
29407,2013,5,10,6,1,56.0,12.0,93.65,999.0,13.0,4,104.0,0.3,6.4,4
29408,2013,5,10,7,1,73.0,12.0,93.65,998.0,13.0,4,111.0,0.3,6.7,4
29409,2013,5,10,8,1,74.0,12.0,93.65,998.0,13.0,4,117.0,0.0,0.0,4
29411,2013,5,10,10,1,73.0,13.0,82.4,997.0,16.0,4,128.0,0.0,0.0,4
29412,2013,5,10,11,1,77.0,12.0,67.99,996.0,18.0,4,134.0,0.0,0.0,4
29413,2013,5,10,12,1,55.0,11.0,59.78,995.0,19.0,4,143.0,0.0,0.0,3
29414,2013,5,10,13,1,7.0,5.0,51.2,995.0,15.0,4,157.0,3.7,3.7,1
29415,2013,5,10,14,1,13.0,9.0,81.88,996.0,12.0,3,2.0,0.0,0.0,2
29416,2013,5,10,15,1,8.0,10.0,76.84,996.0,14.0,4,6.0,0.0,0.0,1
29417,2013,5,10,16,1,10.0,9.0,63.18,995.0,16.0,4,14.0,0.0,0.0,1
29418,2013,5,10,17,1,16.0,11.0,77.01,996.0,15.0,4,21.0,0.0,0.0,2
29419,2013,5,10,18,1,32.0,10.0,72.04,996.0,15.0,4,24.0,0.0,0.0,2
29420,2013,5,10,19,1,34.0,11.0,77.01,996.0,15.0,4,28.0,0.0,0.0,2
29421,2013,5,10,20,1,30.0,11.0,82.14,997.0,14.0,4,31.0,0.0,0.0,2
29422,2013,5,10,21,1,30.0,10.0,82.01,998.0,13.0,4,35.0,0.0,0.0,2
29423,2013,5,10,22,1,27.0,9.0,76.68,998.0,13.0,4,38.0,0.0,0.0,2
29424,2013,5,10,23,1,43.0,8.0,76.52,997.0,12.0,3,2.0,0.0,0.0,3
29425,2013,5,11,0,1,44.0,8.0,76.52,997.0,12.0,3,4.0,0.0,0.0,3
29426,2013,5,11,1,1,52.0,7.0,66.93,997.0,13.0,4,2.0,0.0,0.0,3
29427,2013,5,11,2,1,54.0,6.0,66.71,996.0,12.0,3,2.0,0.0,0.0,3
29428,2013,5,11,3,1,39.0,7.0,71.47,995.0,12.0,3,5.0,0.0,0.0,3
29429,2013,5,11,4,1,30.0,7.0,71.47,994.0,12.0,3,8.0,0.0,0.0,2
29430,2013,5,11,5,1,29.0,6.0,62.48,994.0,13.0,3,11.0,0.0,0.0,2
29432,2013,5,11,7,1,47.0,6.0,48.31,994.0,17.0,4,3.0,0.0,0.0,3
29434,2013,5,11,9,1,102.0,9.0,52.3,993.0,19.0,4,9.0,0.0,0.0,4
29435,2013,5,11,10,1,106.0,9.0,49.15,993.0,20.0,4,15.0,0.0,0.0,4
29438,2013,5,11,13,1,132.0,9.0,55.67,993.0,18.0,4,32.0,0.0,0.0,4
29441,2013,5,11,16,1,66.0,8.0,43.19,994.0,21.0,4,42.0,0.0,0.0,4
29442,2013,5,11,17,1,51.0,8.0,43.19,994.0,21.0,3,2.0,0.0,0.0,3
29443,2013,5,11,18,1,85.0,9.0,49.15,994.0,20.0,4,2.0,0.0,0.0,4
29445,2013,5,11,20,1,141.0,9.0,67.36,996.0,15.0,4,1.0,0.0,0.0,4
29446,2013,5,11,21,1,136.0,8.0,62.95,996.0,15.0,3,2.0,0.0,0.0,4
29447,2013,5,11,22,1,174.0,7.0,62.71,996.0,14.0,3,4.0,0.0,0.0,5
29448,2013,5,11,23,1,150.0,8.0,81.75,997.0,11.0,2,2.0,0.0,0.0,4
29449,2013,5,12,0,1,116.0,8.0,76.52,997.0,12.0,4,1.0,0.0,0.0,4
29450,2013,5,12,1,1,105.0,9.0,81.88,997.0,12.0,3,3.0,0.0,0.0,4
29451,2013,5,12,2,1,112.0,8.0,81.75,997.0,11.0,3,5.0,0.0,0.0,4
29452,2013,5,12,3,1,124.0,8.0,87.38,997.0,10.0,3,7.0,0.0,0.0,4
29453,2013,5,12,4,1,129.0,8.0,87.38,998.0,10.0,3,9.0,0.0,0.0,4
29454,2013,5,12,5,1,189.0,6.0,87.19,998.0,8.0,4,1.0,0.0,0.0,5
29455,2013,5,12,6,1,273.0,8.0,87.38,999.0,10.0,4,2.0,0.0,0.0,6
29456,2013,5,12,7,1,136.0,10.0,82.01,1000.0,13.0,4,6.0,0.0,0.0,4
29457,2013,5,12,8,1,34.0,9.0,59.29,1000.0,17.0,4,9.0,0.0,0.0,2
29459,2013,5,12,10,1,7.0,6.0,40.04,1001.0,20.0,4,15.0,0.0,0.0,1
29460,2013,5,12,11,1,9.0,5.0,35.13,1001.0,21.0,4,20.0,0.0,0.0,1
29467,2013,5,12,18,1,24.0,4.0,30.81,1002.0,22.0,2,5.0,0.0,0.0,2
29468,2013,5,12,19,1,37.0,5.0,39.75,1002.0,19.0,2,6.0,0.0,0.0,3
29469,2013,5,12,20,1,32.0,5.0,45.07,1003.0,17.0,4,1.0,0.0,0.0,2
29470,2013,5,12,21,1,45.0,6.0,54.88,1004.0,15.0,3,2.0,0.0,0.0,3
29471,2013,5,12,22,1,46.0,6.0,51.48,1004.0,16.0,3,4.0,0.0,0.0,3
29472,2013,5,12,23,1,39.0,7.0,58.79,1004.0,15.0,3,7.0,0.0,0.0,3
29473,2013,5,13,0,1,48.0,7.0,62.71,1004.0,14.0,3,10.0,0.0,0.0,3
29474,2013,5,13,1,1,54.0,7.0,66.93,1005.0,13.0,3,13.0,0.0,0.0,3
29481,2013,5,13,8,1,92.0,7.0,40.34,1006.0,21.0,3,34.0,0.0,0.0,4
29482,2013,5,13,9,1,50.0,6.0,31.39,1006.0,24.0,3,37.0,0.0,0.0,3
29483,2013,5,13,10,1,24.0,4.0,24.24,1006.0,26.0,3,39.0,0.0,0.0,2
29485,2013,5,13,12,1,13.0,1.0,18.46,1005.0,27.0,4,5.0,0.0,0.0,2
29487,2013,5,13,14,1,19.0,2.0,18.71,1003.0,28.0,4,15.0,0.0,0.0,2
29488,2013,5,13,15,1,27.0,2.0,18.71,1002.0,28.0,3,5.0,0.0,0.0,2
29489,2013,5,13,16,1,27.0,3.0,21.3,1002.0,27.0,3,11.0,0.0,0.0,2
29490,2013,5,13,17,1,50.0,5.0,26.0,1001.0,26.0,3,16.0,0.0,0.0,3
29491,2013,5,13,18,1,67.0,7.0,31.68,1001.0,25.0,4,5.0,0.0,0.0,4
29492,2013,5,13,19,1,76.0,9.0,40.92,1001.0,23.0,3,4.0,0.0,0.0,4
29493,2013,5,13,20,1,102.0,11.0,52.83,1002.0,21.0,3,7.0,0.0,0.0,4
29494,2013,5,13,21,1,102.0,11.0,56.19,1002.0,20.0,3,10.0,0.0,0.0,4
29495,2013,5,13,22,1,121.0,12.0,60.03,1002.0,20.0,3,13.0,0.0,0.0,4
29496,2013,5,13,23,1,117.0,11.0,56.19,1002.0,20.0,3,17.0,0.0,0.0,4
29497,2013,5,14,0,1,108.0,11.0,56.19,1002.0,20.0,3,21.0,0.0,0.0,4
29498,2013,5,14,1,1,108.0,11.0,56.19,1002.0,20.0,4,5.0,2.9,2.9,4
29499,2013,5,14,2,1,108.0,13.0,77.32,1002.0,17.0,3,6.0,0.0,0.0,4
29500,2013,5,14,3,1,119.0,13.0,82.4,1003.0,16.0,3,7.0,0.0,0.0,4
29501,2013,5,14,4,1,108.0,14.0,87.93,1003.0,16.0,4,1.0,0.0,0.0,4
29502,2013,5,14,5,1,113.0,12.0,77.17,1003.0,16.0,4,1.0,0.0,0.0,4
29503,2013,5,14,6,1,113.0,13.0,82.4,1004.0,16.0,4,3.0,0.0,0.0,4
29504,2013,5,14,7,1,113.0,13.0,77.32,1005.0,17.0,4,7.0,0.0,0.0,4
29505,2013,5,14,8,1,92.0,13.0,72.6,1005.0,18.0,4,12.0,0.0,0.0,4
29506,2013,5,14,9,1,92.0,13.0,72.6,1005.0,18.0,4,18.0,0.0,0.0,4
29507,2013,5,14,10,1,29.0,14.0,68.4,1005.0,20.0,4,22.0,0.0,0.0,2
29508,2013,5,14,11,1,22.0,11.0,52.83,1005.0,21.0,4,26.0,0.0,0.0,2
29509,2013,5,14,12,1,13.0,6.0,35.42,1005.0,22.0,4,32.0,0.0,0.0,2
29510,2013,5,14,13,1,11.0,6.0,31.39,1005.0,24.0,4,38.0,0.0,0.0,1
29515,2013,5,14,18,1,17.0,5.0,45.07,1008.0,17.0,2,40.0,0.0,0.0,2
29516,2013,5,14,19,1,16.0,6.0,51.48,1009.0,16.0,2,46.0,0.0,0.0,2
29517,2013,5,14,20,1,16.0,7.0,58.79,1010.0,15.0,2,51.0,0.0,0.0,2
29518,2013,5,14,21,1,14.0,7.0,58.79,1010.0,15.0,4,6.0,0.0,0.0,2
29519,2013,5,14,22,1,10.0,7.0,62.71,1010.0,14.0,4,12.0,0.0,0.0,1
29520,2013,5,14,23,1,9.0,7.0,62.71,1011.0,14.0,2,7.0,0.0,0.0,1
29521,2013,5,15,0,1,9.0,8.0,67.15,1011.0,14.0,2,13.0,0.0,0.0,1
29522,2013,5,15,1,1,12.0,8.0,67.15,1012.0,14.0,2,19.0,0.0,0.0,1
29523,2013,5,15,2,1,15.0,8.0,67.15,1012.0,14.0,2,25.0,0.0,0.0,2
29524,2013,5,15,3,1,19.0,9.0,71.85,1013.0,14.0,2,31.0,0.0,0.0,2
29525,2013,5,15,4,1,19.0,9.0,71.85,1013.0,14.0,2,36.0,0.0,0.0,2
29526,2013,5,15,5,1,21.0,9.0,71.85,1014.0,14.0,2,39.0,0.0,0.0,2
29527,2013,5,15,6,1,31.0,10.0,76.84,1014.0,14.0,1,3.0,0.0,0.0,2
29528,2013,5,15,7,1,35.0,10.0,72.04,1015.0,15.0,2,3.0,0.0,0.0,2
29529,2013,5,15,8,1,51.0,9.0,67.36,1016.0,15.0,2,6.0,0.0,0.0,3
29531,2013,5,15,10,1,58.0,10.0,67.57,1017.0,16.0,2,3.0,0.0,0.0,4
29532,2013,5,15,11,1,51.0,10.0,59.54,1017.0,18.0,1,2.0,0.0,0.0,3
29533,2013,5,15,12,1,54.0,10.0,59.54,1017.0,18.0,2,2.0,0.0,0.0,3
29534,2013,5,15,13,1,50.0,10.0,59.54,1017.0,18.0,2,4.0,0.0,0.0,3
29535,2013,5,15,14,1,47.0,10.0,52.56,1017.0,20.0,1,3.0,0.0,0.0,3
29536,2013,5,15,15,1,48.0,10.0,52.56,1016.0,20.0,1,7.0,0.0,0.0,3
29537,2013,5,15,16,1,42.0,10.0,49.42,1016.0,21.0,1,12.0,0.0,0.0,3
29538,2013,5,15,17,1,43.0,10.0,52.56,1016.0,20.0,1,17.0,0.0,0.0,3
29539,2013,5,15,18,1,48.0,10.0,52.56,1016.0,20.0,1,21.0,0.0,0.0,3
29540,2013,5,15,19,1,51.0,10.0,55.93,1017.0,19.0,3,2.0,0.0,0.0,3
29541,2013,5,15,20,1,76.0,11.0,72.23,1017.0,16.0,3,3.0,0.0,0.0,4
29542,2013,5,15,21,1,91.0,11.0,77.01,1018.0,15.0,3,4.0,0.0,0.0,4
29543,2013,5,15,22,1,83.0,11.0,77.01,1018.0,15.0,1,1.0,0.0,0.0,4
29545,2013,5,16,0,1,99.0,10.0,87.57,1018.0,12.0,1,4.0,0.0,0.0,4
29548,2013,5,16,3,1,161.0,9.0,93.5,1019.0,10.0,1,1.0,0.0,0.0,5
29553,2013,5,16,8,1,130.0,12.0,77.17,1020.0,16.0,1,16.0,0.0,0.0,4
29554,2013,5,16,9,1,69.0,12.0,60.03,1020.0,20.0,1,18.0,0.0,0.0,4
29555,2013,5,16,10,1,43.0,10.0,46.49,1019.0,22.0,1,22.0,0.0,0.0,3
29556,2013,5,16,11,1,29.0,7.0,33.63,1018.0,24.0,1,27.0,0.0,0.0,2
